"GEO_ID","NAME","B27015_001E","B27015_001M","B27015_002E","B27015_002M","B27015_003E","B27015_003M","B27015_004E","B27015_004M","B27015_005E","B27015_005M","B27015_006E","B27015_006M","B27015_007E","B27015_007M","B27015_008E","B27015_008M","B27015_009E","B27015_009M","B27015_010E","B27015_010M","B27015_011E","B27015_011M","B27015_012E","B27015_012M","B27015_013E","B27015_013M","B27015_014E","B27015_014M","B27015_015E","B27015_015M","B27015_016E","B27015_016M","B27015_017E","B27015_017M","B27015_018E","B27015_018M","B27015_019E","B27015_019M","B27015_020E","B27015_020M","B27015_021E","B27015_021M","B27015_022E","B27015_022M","B27015_023E","B27015_023M","B27015_024E","B27015_024M","B27015_025E","B27015_025M","B27015_026E","B27015_026M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under $25,000","Margin of Error!!Total!!Under $25,000","Estimate!!Total!!Under $25,000!!With health insurance coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Estimate!!Total!!Under $25,000!!No health insurance coverage","Margin of Error!!Total!!Under $25,000!!No health insurance coverage","Estimate!!Total!!$25,000 to $49,999","Margin of Error!!Total!!$25,000 to $49,999","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$25,000 to $49,999!!No health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!No health insurance coverage","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$50,000 to $74,999!!No health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!No health insurance coverage","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$75,000 to $99,999!!No health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!No health insurance coverage","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!With health insurance coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Estimate!!Total!!$100,000 or more!!No health insurance coverage","Margin of Error!!Total!!$100,000 or more!!No health insurance coverage"
"0400000US36","New York","19027799","884","2862047","20816","2625135","17660","811495","7435","2213921","16888","236912","6106","3258724","22757","2951183","20668","1569767","12486","1905048","17880","307541","6110","2907174","20775","2666403","18845","1928523","13092","1148559","14072","240771","6717","2404580","21960","2246561","20791","1838140","17904","700589","9868","158019","4514","7595274","37531","7301787","38128","6587035","37709","1381656","11434","293487","6841"
"0400000US37","North Carolina","9824817","1742","1710884","14169","1395110","11886","559929","6348","1055419","10671","315774","5248","2269073","19025","1905762","15516","1213402","11399","1033844","11440","363311","7375","1849463","16601","1644802","15539","1320956","12304","580996","8811","204661","5196","1349859","14999","1248313","14028","1110883","13171","300951","4950","101546","3927","2645538","20279","2539939","20150","2384661","20154","408544","6158","105599","3851"
"0400000US38","North Dakota","721963","426","88074","2375","76918","2094","44145","1569","51373","1826","11156","1012","125861","3469","112071","3192","86476","2499","51594","2189","13790","1141","130815","3561","119022","3378","104621","3033","33773","1765","11793","941","116483","3599","109763","3491","103197","3282","19487","1133","6720","882","260730","3739","250663","3688","241724","3710","29136","1150","10067","1151"
"0400000US39","Ohio","11320134","594","1837326","14129","1657973","12806","534184","5432","1376677","11932","179353","4262","2373142","16475","2145990","14218","1309837","10314","1274837","10756","227152","5408","2123113","15752","1975353","15031","1587954","13515","706741","9816","147760","4600","1642173","13884","1561995","14284","1383965","14294","356005","5093","80178","2592","3344380","19036","3242443","19976","3043058","20783","455128","5112","101937","3866"
"0400000US40","Oklahoma","3797091","808","658133","6373","513606","5742","208665","3457","387792","4769","144527","2472","897747","7606","730774","6898","465221","5325","402306","4223","166973","3208","750395","8045","642724","7530","516867","6651","227370","3638","107671","2665","537928","6833","481641","6178","426141","5665","117896","2541","56287","2015","952888","8842","889275","8725","824719","8413","159184","2926","63613","2239"
"0400000US41","Oregon","3991230","372","555664","7973","499053","7185","180775","3488","405156","6610","56611","2369","821370","9365","733835","8398","416016","6624","468029","6488","87535","3263","756681","9833","690701","8939","516403","7217","295771","6105","65980","3083","584506","9691","548867","8859","462046","7872","164785","4418","35639","2249","1273009","11921","1228240","11859","1123166","11511","230548","4444","44769","2364"
"0400000US42","Pennsylvania","12361155","438","1796181","14023","1625770","12412","660303","6664","1308703","11707","170411","4625","2370974","17180","2148772","14976","1399764","10872","1274714","10836","222202","5261","2223284","15543","2066215","14814","1669397","12683","778889","9064","157069","3899","1786263","15174","1693388","14451","1502282","13661","421695","5940","92875","3656","4184453","23905","4052175","23993","3812687","24810","616295","6614","132278","4000"
"0400000US44","Rhode Island","1012818","291","148902","3621","138065","3330","45047","1979","116279","3048","10837","1168","175714","5182","160224","4924","89767","3363","101233","3395","15490","1212","165996","4762","155470","4482","118256","3437","60783","2619","10526","1130","140594","5444","133826","5248","114216","4727","36905","2214","6768","987","381612","5891","372172","5804","344904","5597","64422","2288","9440","878"
"0400000US45","South Carolina","4801833","1014","878374","11263","721355","9617","275198","4654","557370","8068","157019","4401","1121359","11942","955607","10697","602914","7405","530805","8211","165752","4660","933079","10991","833364","9986","664233","8685","312296","6264","99715","4017","666945","10207","618580","9507","548583","9165","162213","3906","48365","2851","1202076","12864","1144392","12929","1066265","12545","218117","4028","57684","3079"
"0400000US46","South Dakota","828119","341","119015","3126","98652","2803","44904","1775","73372","2362","20363","1057","170932","3615","147878","3188","104133","2531","73597","2358","23054","1195","169124","4135","152461","4004","128541","3561","46406","1900","16663","1245","140184","3936","132323","3723","121730","3472","26502","1226","7861","821","228864","4244","220211","4205","208345","4028","32280","1406","8653","878"
"0400000US47","Tennessee","6479743","980","1182216","12167","986942","10183","359988","5215","777461","8670","195274","4712","1500544","12382","1296667","9888","812289","8334","716400","7942","203877","5092","1251870","12527","1133734","12053","909660","10609","395392","6457","118136","3669","894917","12390","833030","11829","734827","11449","204861","4463","61887","3012","1650196","15437","1576618","15848","1463253","15459","270703","4778","73578","3477"
